#SESCA CD calculation module:
#Workdir: /home/osvaldo/spc_shiny_servers/circularDichroismApp/appFiles/ChiraKit/SESCA_v097/examples/2-Advanced_calc
#Reference file: CD_pemt.dat
#Target file: Dssp_1hnn.out + Seq_1hnn.out
#Basis set file: 
#    /home/osvaldo/spc_shiny_servers/circularDichroismApp/appFiles/ChiraKit/SESCA_v097/libs/Map_BB_DSSP-1SC3.dat
#    /home/osvaldo/spc_shiny_servers/circularDichroismApp/appFiles/ChiraKit/SESCA_v097/libs/Map_SC_DSSP-1SC3.dat

#Weighting factors for the calculated CD spectrum:
#         Helix  :   0.375 
#        Strand  :   0.244 
#        Bridge  :   0.008 
#         Other  :   0.373 

#   wvlgth       Iref        Icalc       dev         diff
   218.000      -10.595      -13.272       7.168       2.677   
   217.000      -10.587      -13.240       7.037       2.653   
   216.000      -10.637      -13.168       6.404       2.531   
   215.000      -10.663      -13.066       5.775       2.403   
   214.000      -10.962      -12.976       4.057       2.014   
   213.000      -11.229      -12.910       2.826       1.681   
   212.000      -11.332      -12.854       2.318       1.522   
   211.000      -11.257      -12.859       2.567       1.602   
   210.000      -11.285      -12.845       2.433       1.560   
   209.000      -11.410      -12.716       1.704       1.305   
   208.000      -11.186      -12.274       1.184       1.088   
   207.000      -10.899      -11.398       0.249       0.499   
   206.000      -9.808      -9.999       0.037       0.191   
   205.000      -8.073      -8.141       0.005       0.068   
   204.000      -6.171      -5.877       0.086      -0.294   
   203.000      -3.735      -3.257       0.229      -0.479   
   202.000      -0.735      -0.340       0.156      -0.395   
   201.000       2.215       2.873       0.434      -0.659   
   200.000       5.642       6.346       0.495      -0.704   
   199.000       9.152       9.996       0.711      -0.843   
   198.000      12.331      13.619       1.658      -1.288   
   197.000      15.308      16.910       2.565      -1.602   
   196.000      17.744      19.606       3.467      -1.862   
   195.000      19.552      21.539       3.947      -1.987   
   194.000      20.716      22.743       4.109      -2.027   
   193.000      21.285      23.257       3.887      -1.971   
   192.000      21.388      23.184       3.226      -1.796   
   191.000      20.814      22.552       3.023      -1.739   
   190.000      19.716      21.419       2.899      -1.703   
   189.000      18.075      19.740       2.771      -1.664   
   188.000      15.907      17.794       3.562      -1.887   
   187.000      13.841      15.662       3.319      -1.822   
   186.000      11.948      13.506       2.428      -1.558   
   185.000      10.016      11.461       2.087      -1.445   
   184.000       8.236       9.484       1.558      -1.248   
   183.000       6.389       7.564       1.381      -1.175   
   182.000       4.491       5.851       1.849      -1.360   
   181.000       3.397       4.318       0.848      -0.921   
   180.000       2.270       2.951       0.464      -0.682   
   179.000       1.102       1.758       0.430      -0.655   
   178.000       0.291       0.641       0.123      -0.350   

#matches         RMSD        MUSE        NRMSD
#     92         1.264       0.958       0.139

#Estimated SS error of the protein model (calibration curve 1):
#dSS-est (and standard deviation):  11.23 +/- 6.40 %
#dSS-up & dSS-low (conf. interval): 24.02  -  0.00 %

#Experimental entries with no match found: 14
# 280.000     0.650
# 279.000     0.519
# 278.000     0.476
# 277.000     0.341
# 276.000     0.337
# 275.000     0.356
# 274.000     0.544
# 273.000     0.626
# 272.000     0.357
# 271.000     0.200
# 270.000     0.015
# 177.000     -0.798
# 176.000     -1.689
# 175.000     -2.493
