#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/Baselines/Ar-0/MP79/CD_corr.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DS_det_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/     3H        ALH       PIH       EBS       NBS       PP        TI        TII       TVIII     GXT       SCH       HP        TC        HC        BC        BU        LTII      LHH       UC        
# Alpha :   1.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Beta :    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Coil :    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  

#|  Wavelength      Alpha          Beta           Coil           
#      nm        T (10^3)       T (10^3)       T (10^3)      
     230.0        -24.0455         2.9838         -1.2858      
     229.0        -26.5998         2.9801         -1.4626      
     228.0        -28.9436         2.9145         -1.6736      
     227.0        -30.9642         2.7018         -1.9307      
     226.0        -32.7576         2.3145         -2.1606      
     225.0        -34.1101         1.9348         -2.4835      
     224.0        -35.0382         1.5216         -2.8408      
     223.0        -35.5923         1.0370         -3.2063      
     222.0        -35.7977         0.5965         -3.5866      
     221.0        -35.6651         0.2188         -3.9997      
     220.0        -35.3136         -0.0639         -4.4133      
     219.0        -34.7435         -0.2515         -4.8622      
     218.0        -33.9915         -0.4973         -5.2394      
     217.0        -33.3406         -0.4894         -5.5899      
     216.0        -32.7700         -0.2498         -5.8715      
     215.0        -32.2701         0.3425         -6.1892      
     214.0        -32.0065         1.1096         -6.4104      
     213.0        -31.9273         2.1107         -6.6869      
     212.0        -32.0016         3.2896         -6.9700      
     211.0        -32.3912         4.9235         -7.3373      
     210.0        -32.7453         6.7237         -7.7545      
     209.0        -32.6781         8.8856         -8.3245      
     208.0        -31.7075         11.4082         -8.9852      
     207.0        -29.3523         14.0803         -9.7537      
     206.0        -25.3605         17.0556         -10.6798      
     205.0        -20.0011         19.9938         -11.5780      
     204.0        -13.3219         22.3258         -12.3258      
     203.0        -5.5875         24.2299         -12.9081      
     202.0        3.0699         25.6795         -13.2988      
     201.0        12.6964         26.5006         -13.4179      
     200.0        23.3096         26.9186         -13.4325      
     199.0        34.5830         27.1858         -13.3705      
     198.0        45.8599         27.0497         -13.2022      
     197.0        56.0643         26.7468         -12.9963      
     196.0        64.2924         26.1250         -12.6113      
     195.0        70.0974         24.8738         -11.9233      
     194.0        73.4653         22.6603         -10.7940      
     193.0        74.5918         19.6605         -9.3199      
     192.0        73.6700         15.8689         -7.4913      
     191.0        71.0371         11.7835         -5.6586      
     190.0        66.8620         7.5764         -3.8750      
     189.0        61.3225         3.4911         -2.2950      
     188.0        55.2147         -0.3743         -1.0245      
     187.0        49.0203         -4.2472         -0.1005      
     186.0        42.9346         -7.9358         0.5566      
     185.0        37.5679         -11.0139         0.7327      
     184.0        32.7351         -13.4226         0.4425      
     183.0        28.2970         -15.1691         -0.2071      
     182.0        24.5743         -16.9759         -0.9241      
     181.0        21.5671         -18.4539         -1.8172      
     180.0        19.0249         -19.6906         -2.7060      
     179.0        17.0270         -20.3595         -3.7465      
     178.0        15.2842         -20.3534         -4.9406      


#Calibration curves for SS error estimation:
# curve     1-globular,unscaled  2-globular,rescaled  3-general,unscaled   4-general,rescaled
#RMSDj/     dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD
#   0.000     0.000     0.026      0.000     0.034      0.000     0.008      0.000     0.044 
#   0.150     0.039     0.026      0.054     0.034      0.006     0.008      0.058     0.044 
#   0.450     0.064     0.030      0.077     0.047      0.077     0.055      0.104     0.064 
#   0.750     0.063     0.036      0.086     0.056      0.081     0.054      0.117     0.074 
#   1.050     0.068     0.042      0.100     0.067      0.093     0.063      0.128     0.083 
#   1.350     0.076     0.043      0.118     0.078      0.097     0.058      0.150     0.094 
#   1.650     0.085     0.045      0.141     0.086      0.104     0.062      0.179     0.104 
#   1.950     0.095     0.049      0.160     0.089      0.115     0.064      0.206     0.112 
#   2.250     0.104     0.053      0.173     0.087      0.128     0.066      0.224     0.116 
#   2.550     0.114     0.056      0.187     0.086      0.136     0.067      0.237     0.117 
#   2.850     0.122     0.058      0.207     0.088      0.147     0.069      0.250     0.115 
#   3.150     0.132     0.062      0.224     0.090      0.159     0.072      0.265     0.113 
#   3.450     0.141     0.065      0.240     0.092      0.171     0.075      0.278     0.111 
#   3.750     0.150     0.067      0.254     0.091      0.180     0.077      0.293     0.112 
#   4.050     0.157     0.071      0.267     0.092      0.191     0.080      0.306     0.110 
#   4.350     0.164     0.073      0.278     0.094      0.201     0.083      0.320     0.111 
#   4.650     0.172     0.075      0.292     0.097      0.212     0.086      0.330     0.110 
#   4.950     0.177     0.077      0.306     0.101      0.223     0.089      0.344     0.111 
#   5.250     0.185     0.078      0.311     0.106      0.232     0.090      0.357     0.112 
#   5.550     0.189     0.081      0.318     0.107      0.242     0.094      0.369     0.115 
#   5.850     0.197     0.084      0.320     0.104      0.251     0.097      0.379     0.113 
#   6.150     0.203     0.086      0.323     0.106      0.260     0.100      0.387     0.111 
#   6.450     0.206     0.089      0.326     0.099      0.268     0.102      0.394     0.113 
#   6.750     0.211     0.091      0.326     0.100      0.275     0.106      0.402     0.110 
#   7.050     0.216     0.091      0.341     0.103      0.282     0.108      0.414     0.111 
#   7.350     0.222     0.095      0.342     0.102      0.288     0.111      0.426     0.116 
#   7.650     0.225     0.096      0.347     0.100      0.295     0.114      0.435     0.119 
#   7.950     0.230     0.098      0.347     0.097      0.301     0.117      0.443     0.118 
#   8.250     0.235     0.099      0.353     0.098      0.307     0.119      0.447     0.120 
#   8.550     0.239     0.100      0.353     0.087      0.312     0.120      0.453     0.122 
#   8.850     0.247     0.104      0.359     0.086      0.317     0.122      0.459     0.120 
#   9.150     0.252     0.104      0.360     0.081      0.323     0.124      0.459     0.116 
#   9.450     0.258     0.107      0.367     0.083      0.327     0.126      0.472     0.119 
#   9.750     0.259     0.109      0.376     0.086      0.334     0.131      0.471     0.115 
#  10.050     0.265     0.112      0.378     0.079      0.336     0.129      0.472     0.114 
#  10.350     0.270     0.114      0.388     0.080      0.342     0.133      0.475     0.113 
#  10.650     0.272     0.115      0.394     0.078      0.344     0.134      0.475     0.108 
#  10.950     0.278     0.119      0.403     0.073      0.349     0.137      0.480     0.105 
#  11.250     0.280     0.121      0.407     0.071      0.353     0.138      0.485     0.102 
#  11.550     0.284     0.126      0.418     0.070      0.355     0.141      0.490     0.099 
#  11.850     0.285     0.129      0.425     0.069      0.360     0.142      0.497     0.100 
#  12.150     0.287     0.134      0.438     0.072      0.362     0.144      0.503     0.094 
#  12.450     0.291     0.135      0.441     0.069      0.366     0.145      0.510     0.095 
#  12.750     0.288     0.139      0.453     0.067      0.367     0.148      0.515     0.096 
#  13.050     0.286     0.145      0.468     0.075      0.372     0.150      0.525     0.095 
#  13.350     0.280     0.147      0.479     0.074      0.372     0.153      0.530     0.093 
#  13.650     0.283     0.148      0.487     0.069      0.378     0.153      0.548     0.093 
#  13.950     0.278     0.151      0.502     0.078      0.379     0.157      0.542     0.089 
#  14.250     0.283     0.155      0.507     0.071      0.384     0.157      0.556     0.092 
#  14.550     0.281     0.154      0.518     0.071      0.385     0.160      0.579     0.094 
#  14.850     0.280     0.158      0.521     0.068      0.389     0.161      0.575     0.097 
#  15.150     0.280     0.160      0.530     0.062      0.384     0.163      0.587     0.094 
#  15.450     0.268     0.160      0.534     0.058      0.387     0.163      0.601     0.098 
#  15.750     0.264     0.162      0.547     0.058      0.383     0.165      0.598     0.086 
#  16.050     0.266     0.161      0.559     0.065      0.385     0.169      0.615     0.089 
#  16.350     0.268     0.165      0.565     0.061      0.387     0.171      0.614     0.088 
#  16.650     0.281     0.165      0.566     0.051      0.389     0.174      0.628     0.086 
#  16.950     0.275     0.164      0.587     0.065      0.385     0.173      0.646     0.089 
#  17.250     0.267     0.159      0.585     0.058      0.393     0.177      0.646     0.083 
#  17.550     0.273     0.162      0.607     0.061      0.388     0.178      0.649     0.083 
#  17.850     0.266     0.160      0.609     0.052      0.390     0.179      0.656     0.078 
#  18.150     0.273     0.163      0.623     0.049      0.393     0.178      0.657     0.073 
#  18.450     0.275     0.163      0.629     0.047      0.392     0.180      0.668     0.080 
#  18.750     0.282     0.164      0.658     0.061      0.401     0.182      0.675     0.070 
#  19.050     0.279     0.164      0.643     0.042      0.389     0.185      0.681     0.062 
#  19.350     0.289     0.164      0.653     0.034      0.390     0.185      0.680     0.064 
#  19.650     0.291     0.165      0.664     0.041      0.393     0.184      0.692     0.063 
#  19.950     0.293     0.165      0.685     0.047      0.390     0.184      0.695     0.064 
#  20.250     0.287     0.167      0.666     0.027      0.395     0.183      0.712     0.063 
#  20.550     0.290     0.169      0.703     0.038      0.393     0.183      0.705     0.048 
#  20.850     0.288     0.172      0.693     0.035      0.398     0.187      0.723     0.055 
#  21.150     0.267     0.161      0.774     0.071      0.382     0.184      0.780     0.069 
