$SUMMARY
Experiment Type : Wavelength
Experiment Name : Test Single Blank
Experiment Description : 20 mM TRIS 100 mM NaF 8% Glycerol
Software Version : v3.44
Experiment start time : 02/08/2017  07:59:24
Bandwidth        :  1.00 nm
Temp. Setpoint   : 20.00 deg C
Wavelength Start : 280.00 nm
Wavelength End   : 190.00 nm
Wavelength Step  :  1.00 nm
Averaging Time   : 1.000 seconds
Settling Time    : 0.333 seconds
Multi-Scan Wait  :  1.00 seconds

$DATA
$MDCNAME:Scan_#1
$MDCDATA:1:14:2:3:4:9
 X  CD_Signal  CD_Error  CD_Current_(Abs)  CD_Delta_Absorbance  CD_Dynode  Jacket_Temp.
235.000  -0.023  0.170  1.013  -0.000  270.9  19.98
234.000  -0.012  0.171  1.013  -0.000  272.1  19.98
233.000  0.127  0.188  1.013  0.001  273.5  19.98
232.000  -0.156  0.272  1.013  -0.002  274.8  19.98
231.000  0.321  0.134  1.013  0.003  276.1  19.98
230.000  0.277  0.068  1.013  0.003  277.3  19.99
229.000  0.078  0.245  1.013  0.001  278.6  19.99
228.000  0.096  0.168  1.013  0.001  280.1  19.99
227.000  -0.075  0.430  1.012  -0.001  281.7  19.99
226.000  -0.171  0.108  1.012  -0.002  283.2  19.99
225.000  0.117  0.141  1.012  0.001  284.7  19.98
224.000  0.426  0.096  1.012  0.004  286.4  19.98
223.000  0.100  0.201  1.012  0.001  287.8  19.98
222.000  -0.307  0.185  1.012  -0.003  289.4  19.98
221.000  0.273  0.201  1.012  0.003  290.9  19.98
220.000  -0.009  0.151  1.012  -0.000  292.6  19.99
219.000  0.389  0.082  1.012  0.004  294.0  19.98
218.000  0.454  0.173  1.012  0.005  295.4  19.98
217.000  0.493  0.489  1.012  0.005  296.8  19.98
216.000  0.362  0.143  1.012  0.004  298.3  19.98
215.000  0.413  0.291  1.012  0.004  299.7  19.99
214.000  0.395  0.148  1.012  0.004  301.0  19.98
213.000  0.226  0.213  1.012  0.002  302.4  19.99
212.000  0.019  0.187  1.012  0.000  303.8  19.99
211.000  0.693  0.529  1.012  0.007  305.3  19.99
210.000  0.127  0.152  1.012  0.001  306.9  19.99
209.000  0.400  0.276  1.012  0.004  308.6  19.99
208.000  0.101  0.289  1.012  0.001  310.5  19.98
207.000  0.419  0.227  1.012  0.004  312.4  19.99
206.000  0.655  0.104  1.012  0.007  314.6  19.99
205.000  0.550  0.349  1.012  0.006  316.6  19.99
204.000  0.417  0.099  1.012  0.004  318.7  19.99
203.000  -0.481  0.349  1.012  -0.005  320.5  19.98
202.000  0.645  0.306  1.012  0.007  321.7  19.98
201.000  0.520  0.265  1.012  0.005  323.0  19.98
200.000  0.419  0.404  1.012  0.004  324.0  19.98
199.000  0.354  0.449  1.012  0.004  324.8  19.98
198.000  0.815  0.194  1.012  0.008  325.8  19.99
197.000  0.627  0.273  1.012  0.006  327.1  19.98
196.000  1.196  0.287  1.012  0.012  329.3  19.99
195.000  1.552  0.415  1.012  0.016  331.9  19.99
194.000  1.241  0.501  1.012  0.013  335.6  19.99
193.000  0.996  0.222  1.012  0.010  340.2  19.99
192.000  1.171  0.356  1.011  0.012  346.5  19.99
191.000  1.372  0.355  1.011  0.014  354.8  19.99
190.000  2.158  0.347  1.011  0.022  365.4  19.98
$MDCNAME:Scan_#2
$MDCDATA:1:14:2:3:4:9
 X  CD_Signal  CD_Error  CD_Current_(Abs)  CD_Delta_Absorbance  CD_Dynode  Jacket_Temp.
280.000  -0.102  0.064  1.013  -0.001  242.6  19.98
279.000  -0.176  0.112  1.013  -0.002  242.9  19.98
278.000  -0.089  0.064  1.013  -0.001  243.2  19.98
277.000  0.092  0.255  1.013  0.001  243.6  19.99
276.000  -0.186  0.110  1.013  -0.002  244.0  19.98
275.000  0.147  0.201  1.013  0.001  244.3  19.99
274.000  0.098  0.043  1.013  0.001  244.5  19.99
273.000  -0.162  0.090  1.013  -0.002  244.8  19.99
272.000  -0.122  0.165  1.013  -0.001  245.0  19.99
271.000  0.174  0.145  1.013  0.002  245.5  19.99
270.000  0.125  0.100  1.013  0.001  246.0  19.98
269.000  0.122  0.168  1.013  0.001  246.4  19.99
268.000  0.115  0.056  1.013  0.001  246.9  19.99
267.000  0.026  0.096  1.013  0.000  247.3  19.98
266.000  0.086  0.116  1.013  0.001  247.8  19.98
265.000  0.233  0.122  1.013  0.002  248.4  19.98
264.000  0.206  0.122  1.013  0.002  249.0  19.98
263.000  -0.112  0.139  1.013  -0.001  249.5  19.98
262.000  0.030  0.169  1.013  0.000  250.0  19.98
261.000  0.307  0.084  1.013  0.003  250.8  19.99
260.000  0.006  0.278  1.013  0.000  251.3  19.99
259.000  0.149  0.072  1.013  0.002  252.1  19.99
258.000  0.093  0.104  1.013  0.001  252.8  19.99
257.000  0.338  0.182  1.013  0.003  253.7  19.98
256.000  0.298  0.164  1.013  0.003  254.4  19.99
255.000  -0.084  0.139  1.013  -0.001  255.1  19.98
254.000  0.321  0.177  1.013  0.003  255.8  19.98
253.000  0.044  0.094  1.013  0.000  256.8  19.98
252.000  0.282  0.148  1.013  0.003  257.3  19.98
251.000  0.101  0.151  1.013  0.001  258.1  19.98
250.000  -0.041  0.057  1.013  -0.000  258.8  19.98
249.000  0.176  0.123  1.013  0.002  259.4  19.99
248.000  0.445  0.087  1.013  0.005  260.1  19.98
247.000  0.262  0.128  1.013  0.003  260.8  19.99
246.000  -0.076  0.214  1.013  -0.001  261.5  19.99
245.000  0.087  0.144  1.013  0.001  262.1  19.99
244.000  0.141  0.073  1.013  0.001  262.7  19.99
243.000  0.094  0.147  1.013  0.001  263.4  19.99
242.000  0.345  0.155  1.013  0.003  264.1  19.98
241.000  0.342  0.203  1.013  0.003  264.8  19.96
240.000  0.031  0.225  1.013  0.000  265.6  19.96
239.000  0.189  0.032  1.013  0.002  266.4  19.96
238.000  0.182  0.171  1.013  0.002  267.4  19.96
237.000  0.316  0.167  1.013  0.003  268.6  19.97
236.000  0.328  0.171  1.013  0.003  269.7  19.97
235.000  0.294  0.177  1.013  0.003  270.9  19.98
234.000  0.023  0.096  1.013  0.000  272.2  19.98
233.000  0.030  0.198  1.013  0.000  273.5  19.98
232.000  0.140  0.072  1.012  0.001  274.8  19.99
231.000  0.381  0.166  1.012  0.004  276.1  19.99
230.000  0.136  0.319  1.012  0.001  277.3  20.00
229.000  -0.174  0.194  1.012  -0.002  278.7  19.99
228.000  -0.548  0.149  1.012  -0.006  280.1  20.00
227.000  0.291  0.093  1.012  0.003  281.7  20.00
226.000  0.403  0.350  1.012  0.004  283.1  19.99
225.000  0.263  0.344  1.012  0.003  284.7  19.99
224.000  0.352  0.332  1.012  0.004  286.3  19.99
223.000  -0.098  0.182  1.012  -0.001  287.8  19.99
222.000  -0.031  0.126  1.012  -0.000  289.4  19.99
221.000  0.177  0.157  1.012  0.002  290.9  19.99
220.000  0.360  0.170  1.012  0.004  292.6  19.99
219.000  -0.107  0.356  1.012  -0.001  293.9  19.99
218.000  -0.058  0.287  1.012  -0.001  295.4  19.99
217.000  0.236  0.224  1.012  0.002  296.8  19.99
216.000  -0.290  0.181  1.012  -0.003  298.2  19.98
215.000  0.432  0.197  1.012  0.004  299.7  19.99
214.000  0.297  0.177  1.012  0.003  301.0  19.99
213.000  0.556  0.113  1.012  0.006  302.3  19.99
212.000  0.367  0.245  1.012  0.004  303.8  19.99
211.000  0.423  0.161  1.012  0.004  305.2  19.98
210.000  0.458  0.043  1.012  0.005  306.9  19.99
209.000  0.684  0.118  1.012  0.007  308.5  19.98
208.000  0.287  0.354  1.012  0.003  310.5  19.99
207.000  0.593  0.315  1.012  0.006  312.4  19.98
206.000  0.720  0.392  1.012  0.007  314.4  19.98
205.000  0.488  0.151  1.012  0.005  316.6  19.99
204.000  1.014  0.366  1.012  0.010  318.5  19.99
203.000  0.601  0.363  1.012  0.006  320.5  19.99
202.000  0.704  0.340  1.012  0.007  321.8  19.99
201.000  0.488  0.330  1.012  0.005  322.9  19.98
200.000  0.492  0.435  1.012  0.005  323.9  19.98
199.000  0.599  0.180  1.012  0.006  324.7  19.98
198.000  0.712  0.193  1.012  0.007  325.8  19.98
197.000  1.443  0.179  1.012  0.015  327.1  19.99
196.000  1.367  0.393  1.012  0.014  329.1  19.98
195.000  0.891  0.284  1.012  0.009  331.8  19.99
194.000  1.594  0.132  1.012  0.016  335.3  19.98
193.000  1.303  0.375  1.012  0.013  340.0  19.98
192.000  1.525  0.221  1.011  0.015  346.5  19.98
191.000  0.653  0.336  1.011  0.007  354.6  19.98
190.000  1.075  0.440  1.011  0.011  365.2  19.98
$MDCNAME:Scan_#3
$MDCDATA:1:14:2:3:4:9
 X  CD_Signal  CD_Error  CD_Current_(Abs)  CD_Delta_Absorbance  CD_Dynode  Jacket_Temp.
280.000  -0.144  0.096  1.013  -0.001  242.7  19.99
279.000  -0.047  0.067  1.013  -0.000  242.9  19.99
278.000  0.040  0.188  1.013  0.000  243.3  19.99
277.000  -0.275  0.197  1.013  -0.003  243.5  19.99
276.000  0.116  0.132  1.013  0.001  243.9  19.98
275.000  0.154  0.053  1.013  0.002  244.2  19.99
274.000  -0.154  0.104  1.013  -0.002  244.5  19.99
273.000  0.015  0.175  1.013  0.000  244.8  19.98
272.000  0.043  0.140  1.013  0.000  245.1  19.99
271.000  0.000  0.209  1.013  0.000  245.4  19.99
270.000  0.065  0.104  1.013  0.001  245.9  19.99
269.000  0.081  0.059  1.013  0.001  246.3  19.98
268.000  0.196  0.204  1.013  0.002  246.8  19.98
267.000  0.258  0.154  1.013  0.003  247.4  19.98
266.000  0.076  0.139  1.013  0.001  247.8  19.98
265.000  0.071  0.162  1.013  0.001  248.3  19.98
264.000  -0.041  0.029  1.013  -0.000  249.0  19.98
263.000  0.089  0.051  1.013  0.001  249.4  19.99
262.000  -0.014  0.058  1.013  -0.000  250.1  19.98
261.000  -0.151  0.067  1.013  -0.002  250.7  19.99
260.000  0.027  0.121  1.013  0.000  251.3  19.99
259.000  0.101  0.184  1.013  0.001  252.0  19.99
258.000  -0.191  0.181  1.013  -0.002  252.9  19.98
257.000  0.063  0.149  1.013  0.001  253.5  19.98
256.000  0.151  0.162  1.013  0.002  254.3  19.98
255.000  -0.337  0.091  1.013  -0.003  255.1  19.99
254.000  0.298  0.130  1.013  0.003  255.9  19.98
253.000  0.143  0.097  1.013  0.001  256.6  19.98
252.000  0.141  0.258  1.013  0.001  257.3  19.99
251.000  -0.011  0.172  1.013  -0.000  258.0  19.98
250.000  -0.153  0.065  1.013  -0.002  258.8  19.98
249.000  0.127  0.107  1.013  0.001  259.5  19.98
248.000  0.089  0.324  1.013  0.001  260.1  19.99
247.000  0.161  0.241  1.013  0.002  260.7  19.99
246.000  0.097  0.087  1.013  0.001  261.5  19.98
245.000  -0.254  0.267  1.013  -0.003  262.2  19.99
244.000  0.197  0.137  1.013  0.002  262.7  19.99
243.000  0.454  0.200  1.013  0.005  263.4  19.98
242.000  0.159  0.205  1.013  0.002  264.1  19.99
241.000  0.064  0.089  1.013  0.001  264.8  19.99
240.000  0.462  0.090  1.013  0.005  265.6  19.99
239.000  0.207  0.209  1.013  0.002  266.4  19.98
238.000  0.221  0.169  1.013  0.002  267.5  19.98
237.000  0.238  0.319  1.013  0.002  268.6  19.99
236.000  0.208  0.256  1.013  0.002  269.7  19.99
235.000  -0.135  0.157  1.013  -0.001  270.7  19.98
234.000  0.123  0.170  1.013  0.001  272.2  19.99
233.000  -0.173  0.274  1.013  -0.002  273.4  19.99
232.000  0.113  0.240  1.013  0.001  274.7  19.99
231.000  0.540  0.280  1.012  0.005  276.1  19.98
230.000  0.379  0.189  1.012  0.004  277.3  19.98
229.000  0.435  0.192  1.012  0.004  278.5  19.98
228.000  -0.145  0.092  1.012  -0.001  280.2  19.98
227.000  0.139  0.140  1.012  0.001  281.8  19.99
226.000  0.219  0.142  1.012  0.002  283.2  19.99
225.000  -0.020  0.249  1.012  -0.000  284.8  19.99
224.000  0.114  0.077  1.012  0.001  286.3  19.99
223.000  -0.006  0.096  1.012  -0.000  287.7  19.99
222.000  0.127  0.275  1.012  0.001  289.4  19.98
221.000  0.184  0.178  1.012  0.002  290.9  19.99
220.000  0.250  0.231  1.012  0.003  292.5  19.98
219.000  0.154  0.125  1.012  0.002  294.0  19.98
218.000  -0.306  0.239  1.012  -0.003  295.4  19.98
217.000  0.286  0.242  1.012  0.003  296.8  19.98
216.000  0.289  0.214  1.012  0.003  298.2  19.98
215.000  0.418  0.264  1.012  0.004  299.6  19.98
214.000  0.339  0.279  1.012  0.003  301.1  19.98
213.000  0.394  0.222  1.012  0.004  302.4  19.98
212.000  0.123  0.156  1.012  0.001  303.8  19.98
211.000  0.224  0.098  1.012  0.002  305.3  19.98
210.000  0.235  0.089  1.012  0.002  306.8  19.98
209.000  0.667  0.199  1.012  0.007  308.6  19.98
208.000  0.409  0.160  1.012  0.004  310.4  19.98
207.000  0.270  0.363  1.012  0.003  312.5  19.99
206.000  0.671  0.612  1.012  0.007  314.7  19.99
205.000  0.169  0.349  1.012  0.002  316.7  19.99
204.000  0.698  0.539  1.012  0.007  318.6  19.98
203.000  1.090  0.206  1.012  0.011  320.4  19.99
202.000  0.447  0.204  1.012  0.005  321.9  19.99
201.000  0.945  0.342  1.012  0.010  322.9  19.99
200.000  0.882  0.363  1.012  0.009  323.9  19.98
199.000  1.287  0.257  1.012  0.013  324.8  19.99
198.000  1.064  0.568  1.012  0.011  325.8  19.99
197.000  1.495  0.253  1.012  0.015  327.0  19.98
196.000  1.353  0.192  1.012  0.014  329.2  19.99
195.000  1.490  0.340  1.012  0.015  331.9  19.99
194.000  1.270  0.391  1.012  0.013  335.4  19.99
193.000  0.992  0.238  1.012  0.010  340.2  19.99
192.000  1.900  0.280  1.011  0.019  346.4  19.99
191.000  0.966  0.646  1.011  0.010  354.7  19.99
190.000  0.937  0.418  1.011  0.009  365.2  19.99
$ENDDATA

$CONFIGURATION
$EXPNAME:Flowthrow Apols A835 #1
$NDATAPOINTS:91
$VERSION:v3.44
$EXTYPE:1
$EXNAME:Flowthrow Apols A835
$EXDESC:20 mM TRIS 100 mM NaF 8% Glycerol
$EXNUMBER:1
$CDDC:1.005000
$CDHV:280.000000
$FLHV:75.000000
$QCHV:0.000000
$MONOWL:280.000000
$MONOBW:1.000000
$MONOSW:0.428023
$TEMPSP:20.000000
$TEMPDB:0.200000
$TEMPSYROFF:0.000000
$TEMPRATE:10.000000
$TEMPET:3.000000
$WLSTART:280.000000
$WLEND:190.000000
$WLEVERY:1.000000
$WLFILTER:0.333000
$WLREPEATS:3
$WLWAIT:1.000000
$WLSS:1
$FLSCSTART:450.000000
$FLSCEND:300.000000
$FLSCSTEP:1.000000
$FLSCREPEATS:1
$FLSCWAITTIME:1.000000
$FLSCAVETIME:1.000000
$FWLWL:552.000000
$KINSTART:0.000000
$KINEND:3600.000000
$KININTERVAL:1.000000
$KINTC:4.000000
$KINROTLOOPTIME:0.000000
$TEMPSTART:70.000000
$TEMPEND:80.000000
$TEMPSTEP:5.000000
$TEMPSS:1
$TEMPSUNSORT:0
$AVETIME:1.000000
$TEMPREVERSESCAN:0
$TEMPHOLDTIME
$TEMPRETURN:0
$CONCINITTITRANT:0
$CONCSYRTITRANT:7.8
$CONCINITSAMPLE:2e-006
$CONCSYRSAMPLE:2e-006
$CONCCELLVOL:2.000000
$CONCAVETIME:5.000000
$CONCTARGET0:4
$CONCTARGET1:0
$CONCTARGET2:0
$CONCSTEP0:1
$CONCSTEP1:0
$CONCSTEP2:0
$CONCINCREASEVOL:0
$CONCCELLMAX:2.800000
$CONCCELLMIN:1.000000
$CONCSTIRTIME0:15.000000
$CONCSTIRTIME1:0.500000
$CONCSTIRTIME2:0.500000
$PHEND:8.000000
$PHINTERVAL:0.500000
$PHSTIRTIME:0.500000
$PHMAXVOL:1800.000000
$PHDB:0.010000
$PHINCREASE:1
$PHCELLVOL:1800.000000
$PHINITSYR:0
$PHINITCELL:1e-006
$FLAVETIME:1.000000
$FLWL:295.000000
$STIRVALUE:54
$STIRDURING:0
$STIRDELAYTIME:0.100000
$ROTENABLE:0
$ROTSTIRTIME:0.100000
$ROTDESC1:
$ROTDESC2:
$ROTDESC3:
$ROTDESC4:
$ROTDESC5:
$SAVEBITS:79
$STRINGENCY:4
$ERRORLEVEL:3
$ABSORB:3.500000
$DSPATH:C:\DATA\BONNIE\Sam
$PMTMODE:1
$QCCORRECT:0
$AUTOSLIT:0
$ECOUNT:100
$COLLECT:1
$STDDEVLIM:1.000000
$ABSERROR:1.000000
$DABSERROR:1.000000
$MDY:2:8:2017
$HMS:7:59:24
$SYRTVOL0:500.000000
$SYRTVOL1:500.000000
$TSYRDESC1:
$TSYRDESC2:
$CDOFFSET:0.000000
$SEWHILE:1
$SEINTERVAL:30
$SAVEHDALWAYS:1
$COLORTABLE:0:0:0:255
$COLORTABLE:1:0:255:0
$COLORTABLE:2:255:0:0
$COLORTABLE:3:255:0:255
$COLORTABLE:4:255:255:0
$COLORTABLE:5:0:0:192
$COLORTABLE:6:0:192:0
$COLORTABLE:7:0:192:192
$COLORTABLE:8:192:0:0
$COLORTABLE:9:192:0:192
$COLORTABLE:10:192:192:0
$COLORTABLE:11:192:192:192
$COLORTABLE:12:112:112:240
$COLORTABLE:13:112:240:112
$COLORTABLE:14:112:240:240
$COLORTABLE:15:240:112:112
$COLORTABLE:16:240:240:112
$COLORTABLE:17:192:192:240
$COLORTABLE:18:192:240:192
$COLORTABLE:19:192:240:240
$COLORTABLE:20:0:255:0
$COLORTABLE:21:0:255:255
$COLORTABLE:22:255:0:0
$COLORTABLE:23:255:0:255
$COLORTABLE:24:255:255:0
$COLORTABLE:25:0:0:192
$COLORTABLE:26:0:192:0
$COLORTABLE:27:0:192:192
$COLORTABLE:28:112:112:192
$COLORTABLE:29:112:192:112
$COLORTABLE:30:112:192:192
$COLORTABLE:31:192:112:112
$COLORTABLE:32:192:112:192
$COLORTABLE:33:192:192:112
$COLORTABLE:34:192:192:192
$COLORTABLE:35:80:80:160
$COLORTABLE:36:80:160:80
$COLORTABLE:37:80:160:160
$COLORTABLE:38:160:80:80
$COLORTABLE:39:160:80:160
$COLORTABLE:40:160:160:80
$COLORTABLE:41:160:160:160
$COLORTABLE:42:144:144:144
$COLORTABLE:43:144:144:224
$COLORTABLE:44:144:224:144
$COLORTABLE:45:144:224:224
$COLORTABLE:46:224:144:144
$COLORTABLE:47:224:144:224
$ENDCONFIGURATION
