#Preprocessed CD spectrum:
#source: /home/gnagy/Programs/SESCA_dev/examples/7-Spectrum_preparation
#data columns:  [1, 4]
#input format:  mdeg
#spectrum files:
#CSAplus_01.dat
#CSAplus_02.dat
#CSAplus_03.dat
#basline files:

#   wvlgth  Int_avg   Int_sd 
    245.5   -0.025     0.001  
    245.0   -0.024     0.002  
    244.5   -0.024     0.002  
    244.0   -0.024     0.002  
    243.5   -0.024     0.001  
    243.0   -0.024     0.001  
    242.5   -0.023     0.002  
    242.0   -0.025     0.001  
    241.5   -0.024     0.002  
    241.0   -0.024     0.002  
    240.5   -0.025     0.001  
    240.0   -0.024     0.002  
    239.5   -0.024     0.001  
    239.0   -0.024     0.002  
    238.5   -0.024     0.001  
    238.0   -0.025     0.000  
    237.5   -0.025     0.002  
    237.0   -0.025     0.001  
    236.5   -0.024     0.002  
    236.0   -0.025     0.001  
    235.5   -0.024     0.001  
    235.0   -0.025     0.001  
    234.5   -0.024     0.001  
    234.0   -0.026     0.001  
    233.5   -0.025     0.001  
    233.0   -0.024     0.001  
    232.5   -0.026     0.001  
    232.0   -0.024     0.000  
    231.5   -0.025     0.001  
    231.0   -0.024     0.000  
    230.5   -0.026     0.001  
    230.0   -0.025     0.001  
    229.5   -0.024     0.001  
    229.0   -0.025     0.001  
    228.5   -0.025     0.000  
    228.0   -0.026     0.001  
    227.5   -0.024     0.000  
    227.0   -0.025     0.001  
    226.5   -0.026     0.000  
    226.0   -0.023     0.001  
    225.5   -0.026     0.001  
    225.0   -0.024     0.000  
    224.5   -0.025     0.000  
    224.0   -0.025     0.001  
    223.5   -0.023     0.001  
    223.0   -0.025     0.000  
    222.5   -0.022     0.000  
    222.0   -0.023     0.000  
    221.5   -0.023     0.001  
    221.0   -0.020     0.000  
    220.5   -0.022     0.001  
    220.0   -0.019     0.000  
    219.5   -0.020     0.000  
    219.0   -0.018     0.001  
    218.5   -0.016     0.001  
    218.0   -0.016     0.001  
    217.5   -0.013     0.000  
    217.0   -0.015     0.001  
    216.5   -0.011     0.000  
    216.0   -0.010     0.001  
    215.5   -0.009     0.000  
    215.0   -0.005     0.000  
    214.5   -0.004     0.000  
    214.0   -0.000     0.001  
    213.5    0.003     0.001  
    213.0    0.006     0.000  
    212.5    0.011     0.001  
    212.0    0.013     0.000  
    211.5    0.019     0.001  
    211.0    0.022     0.000  
    210.5    0.027     0.001  
    210.0    0.033     0.001  
    209.5    0.039     0.000  
    209.0    0.046     0.001  
    208.5    0.053     0.001  
    208.0    0.062     0.000  
    207.5    0.069     0.001  
    207.0    0.078     0.001  
    206.5    0.090     0.001  
    206.0    0.100     0.001  
    205.5    0.111     0.000  
    205.0    0.124     0.001  
    204.5    0.138     0.001  
    204.0    0.152     0.001  
    203.5    0.165     0.001  
    203.0    0.182     0.001  
    202.5    0.199     0.000  
    202.0    0.215     0.001  
    201.5    0.234     0.001  
    201.0    0.252     0.001  
    200.5    0.273     0.001  
    200.0    0.295     0.001  
    199.5    0.315     0.001  
    199.0    0.338     0.001  
    198.5    0.359     0.001  
    198.0    0.385     0.001  
    197.5    0.409     0.001  
    197.0    0.433     0.000  
    196.5    0.459     0.001  
    196.0    0.484     0.001  
    195.5    0.511     0.001  
    195.0    0.538     0.002  
    194.5    0.564     0.001  
    194.0    0.588     0.001  
    193.5    0.614     0.001  
    193.0    0.642     0.002  
    192.5    0.675     0.004  
    192.0    0.694     0.002  
    191.5    0.718     0.001  
    191.0    0.747     0.003  
    190.5    0.783     0.007  
    190.0    0.800     0.005  
    189.5    0.816     0.003  
    189.0    0.847     0.005  
    188.5    0.889     0.012  
    188.0    0.907     0.008  
    187.5    0.925     0.006  
    187.0    0.970     0.012  
    186.5    1.026     0.018  
    186.0    1.042     0.011  
    185.5    1.087     0.014  
    185.0    1.162     0.024  
    184.5    1.229     0.022  
    184.0    1.272     0.018  
    183.5    1.392     0.030  
    183.0    1.545     0.037  
    182.5    1.654     0.036  
    182.0    1.868     0.055  
    181.5    2.095     0.052  
    181.0    2.320     0.052  
    180.5    2.509     0.099  
    180.0    2.854     0.126  
