#Preprocessed CD spectrum:
#source: /home/gnagy/Programs/SESCA_dev/examples/7-Spectrum_preparation
#data columns:  [1, 4]
#input format:  mdeg
#spectrum files:
#CSAplus_01.dat
#CSAplus_02.dat
#CSAplus_03.dat
#basline files:
#H2O_01.dat
#H2O_02.dat
#H2O_03.dat

#   wvlgth  Int_avg   Int_sd 
    264.5    0.004     0.003  
    264.0    0.003     0.003  
    263.5    0.002     0.003  
    263.0    0.002     0.002  
    262.5    0.002     0.002  
    262.0    0.002     0.004  
    261.5    0.002     0.002  
    261.0    0.001     0.003  
    260.5    0.001     0.002  
    260.0    0.002     0.003  
    259.5    0.002     0.002  
    259.0    0.001     0.002  
    258.5    0.002     0.004  
    258.0    0.000     0.002  
    257.5    0.001     0.003  
    257.0    0.001     0.003  
    256.5    0.000     0.003  
    256.0    0.001     0.002  
    255.5   -0.001     0.002  
    255.0    0.000     0.002  
    254.5   -0.001     0.002  
    254.0    0.000     0.003  
    253.5   -0.001     0.002  
    253.0   -0.001     0.003  
    252.5    0.000     0.002  
    252.0    0.000     0.003  
    251.5    0.000     0.003  
    251.0    0.000     0.002  
    250.5    0.000     0.003  
    250.0   -0.001     0.002  
    249.5    0.000     0.003  
    249.0    0.000     0.003  
    248.5   -0.001     0.003  
    248.0   -0.001     0.002  
    247.5   -0.001     0.004  
    247.0   -0.001     0.002  
    246.5   -0.001     0.002  
    246.0   -0.001     0.003  
    245.5   -0.001     0.002  
    245.0   -0.002     0.003  
    244.5    0.000     0.003  
    244.0   -0.001     0.003  
    243.5   -0.001     0.002  
    243.0   -0.002     0.002  
    242.5   -0.001     0.003  
    242.0   -0.002     0.002  
    241.5   -0.001     0.003  
    241.0   -0.001     0.003  
    240.5   -0.002     0.002  
    240.0   -0.001     0.003  
    239.5   -0.001     0.002  
    239.0    0.000     0.003  
    238.5   -0.001     0.002  
    238.0   -0.001     0.001  
    237.5   -0.001     0.003  
    237.0   -0.001     0.002  
    236.5   -0.001     0.002  
    236.0   -0.001     0.002  
    235.5   -0.001     0.002  
    235.0   -0.001     0.002  
    234.5   -0.002     0.002  
    234.0   -0.002     0.001  
    233.5   -0.001     0.002  
    233.0   -0.001     0.002  
    232.5   -0.001     0.002  
    232.0   -0.001     0.001  
    231.5   -0.002     0.002  
    231.0   -0.001     0.001  
    230.5   -0.002     0.001  
    230.0   -0.001     0.002  
    229.5   -0.001     0.002  
    229.0   -0.001     0.002  
    228.5   -0.002     0.001  
    228.0   -0.001     0.002  
    227.5    0.000     0.001  
    227.0   -0.002     0.001  
    226.5   -0.001     0.001  
    226.0   -0.001     0.002  
    225.5   -0.001     0.002  
    225.0    0.000     0.001  
    224.5   -0.002     0.000  
    224.0    0.000     0.002  
    223.5    0.000     0.001  
    223.0    0.000     0.001  
    222.5    0.002     0.001  
    222.0    0.000     0.001  
    221.5    0.002     0.002  
    221.0    0.003     0.001  
    220.5    0.002     0.002  
    220.0    0.005     0.001  
    219.5    0.005     0.000  
    219.0    0.005     0.002  
    218.5    0.008     0.002  
    218.0    0.008     0.001  
    217.5    0.010     0.001  
    217.0    0.010     0.001  
    216.5    0.012     0.001  
    216.0    0.014     0.002  
    215.5    0.015     0.001  
    215.0    0.019     0.001  
    214.5    0.020     0.000  
    214.0    0.023     0.002  
    213.5    0.027     0.002  
    213.0    0.030     0.001  
    212.5    0.033     0.001  
    212.0    0.037     0.000  
    211.5    0.041     0.002  
    211.0    0.046     0.000  
    210.5    0.051     0.002  
    210.0    0.057     0.001  
    209.5    0.063     0.000  
    209.0    0.069     0.001  
    208.5    0.077     0.001  
    208.0    0.085     0.001  
    207.5    0.092     0.002  
    207.0    0.104     0.001  
    206.5    0.113     0.001  
    206.0    0.125     0.002  
    205.5    0.135     0.000  
    205.0    0.148     0.002  
    204.5    0.163     0.001  
    204.0    0.175     0.001  
    203.5    0.191     0.002  
    203.0    0.207     0.001  
    202.5    0.224     0.001  
    202.0    0.242     0.001  
    201.5    0.259     0.001  
    201.0    0.280     0.001  
    200.5    0.300     0.001  
    200.0    0.323     0.002  
    199.5    0.345     0.002  
    199.0    0.368     0.002  
    198.5    0.393     0.001  
    198.0    0.418     0.002  
    197.5    0.443     0.001  
    197.0    0.470     0.000  
    196.5    0.496     0.002  
    196.0    0.524     0.001  
    195.5    0.552     0.002  
    195.0    0.581     0.003  
    194.5    0.610     0.001  
    194.0    0.635     0.001  
    193.5    0.664     0.002  
    193.0    0.694     0.003  
    192.5    0.726     0.006  
    192.0    0.749     0.003  
    191.5    0.775     0.002  
    191.0    0.804     0.005  
    190.5    0.838     0.011  
    190.0    0.856     0.007  
    189.5    0.872     0.004  
    189.0    0.898     0.007  
    188.5    0.932     0.018  
    188.0    0.944     0.011  
    187.5    0.953     0.009  
    187.0    0.980     0.017  
    186.5    1.013     0.027  
    186.0    1.008     0.016  
    185.5    1.021     0.020  
    185.0    1.052     0.035  
    184.5    1.059     0.032  
    184.0    1.046     0.025  
    183.5    1.075     0.043  
    183.0    1.097     0.051  
    182.5    1.081     0.047  
    182.0    1.111     0.077  
    181.5    1.063     0.077  
    181.0    1.052     0.078  
    180.5    0.768     0.153  
    180.0    0.633     0.159  
