#Preprocessed CD spectrum:
#source: /home/gnagy/Programs/SESCA_dev/examples/7-Spectrum_preparation
#data columns:  [1, 2, 3]
#input format:  mdeg
#spectrum files:
#CSAplus_01.dat
#CSAplus_02.dat
#CSAplus_03.dat
#basline files:

#   wvlgth  Int_avg   Int_sd 
    230.0   -0.606     0.281  
    229.5   -0.470     0.325  
    229.0   -0.564     0.261  
    228.5   -0.523     0.317  
    228.0   -0.574     0.264  
    227.5   -0.545     0.348  
    227.0   -0.607     0.311  
    226.5   -0.583     0.458  
    226.0   -0.824     0.266  
    225.5   -0.598     0.308  
    225.0   -0.636     0.222  
    224.5   -0.542     0.231  
    224.0   -0.525     0.264  
    223.5   -0.436     0.425  
    223.0   -0.733     0.312  
    222.5   -0.724     0.491  
    222.0   -0.653     0.363  
    221.5   -0.859     0.433  
    221.0   -1.070     0.353  
    220.5   -1.033     0.338  
    220.0   -1.049     0.307  
    219.5   -1.076     0.324  
    219.0   -1.374     0.336  
    218.5   -1.350     0.269  
    218.0   -1.563     0.280  
    217.5   -1.653     0.395  
    217.0   -1.878     0.493  
    216.5   -1.907     0.300  
    216.0   -2.368     0.311  
    215.5   -2.750     0.535  
    215.0   -2.700     0.283  
    214.5   -3.154     0.418  
    214.0   -3.644     0.360  
    213.5   -3.824     0.354  
    213.0   -4.292     0.520  
    212.5   -4.839     0.425  
    212.0   -5.295     0.300  
    211.5   -5.863     0.482  
    211.0   -6.439     0.388  
    210.5   -6.958     0.330  
    210.0   -7.639     0.295  
    209.5   -8.461     0.458  
    209.0   -9.066     0.346  
    208.5   -9.926     0.462  
    208.0   -10.850     0.490  
    207.5   -11.632     0.521  
    207.0   -12.945     0.341  
    206.5   -13.686     0.545  
    206.0   -15.151     0.503  
    205.5   -16.406     0.361  
    205.0   -17.472     0.501  
    204.5   -19.301     0.488  
    204.0   -19.959     0.397  
    203.5   -21.951     0.596  
    203.0   -23.225     0.407  
    202.5   -24.321     0.413  
    202.0   -25.999     0.581  
    201.5   -27.571     0.354  
    201.0   -29.109     0.691  
    200.5   -30.268     0.329  
    200.0   -32.155     0.620  
    199.5   -33.635     0.350  
    199.0   -35.060     0.428  
    198.5   -36.480     0.631  
    198.0   -37.965     0.577  
    197.5   -39.318     0.377  
    197.0   -40.479     0.429  
    196.5   -41.582     0.482  
    196.0   -42.662     0.356  
    195.5   -44.052     0.718  
    195.0   -44.833     0.543  
    194.5   -45.282     0.665  
    194.0   -46.124     0.533  
    193.5   -46.364     0.735  
    193.0   -46.625     0.461  
    192.5   -47.275     0.682  
    192.0   -47.085     0.664  
    191.5   -47.677     1.001  
    191.0   -47.163     0.751  
    190.5   -46.527     0.568  
    190.0   -46.512     0.675  
    189.5   -45.520     0.659  
    189.0   -45.758     0.629  
    188.5   -44.472     0.809  
    188.0   -44.010     0.839  
    187.5   -42.909     1.006  
    187.0   -41.721     0.569  
    186.5   -40.855     1.072  
    186.0   -40.207     1.060  
    185.5   -39.004     1.084  
    185.0   -37.702     1.822  
    184.5   -36.216     1.183  
    184.0   -36.172     1.658  
    183.5   -34.020     1.542  
    183.0   -34.388     1.967  
    182.5   -33.776     2.053  
    182.0   -34.011     3.469  
    181.5   -29.586     4.750  
    181.0   -25.626    11.903  
    180.5   -26.792    20.757  
    180.0   -10.200    37.519  
